ZIP,YEAR,ORDINAL,INCOME GROUP,HOUSEHOLDS
92007,2015,8,"$125,000 to $149,999",378
92007,2015,9,"$150,000 to $199,999",456
92007,2015,10,"$200,000 or more",768
92007,2016,1,"Less than $15,000",358
92007,2016,2,"$15,000 to $29,999",380
92007,2016,3,"$30,000 to $44,999",307
92007,2016,4,"$45,000 to $59,999",379
92007,2016,5,"$60,000 to $74,999",359
92007,2016,6,"$75,000 to $99,999",641
92007,2016,7,"$100,000 to $124,999",468
92007,2016,8,"$125,000 to $149,999",324
92007,2016,9,"$150,000 to $199,999",450
92007,2016,10,"$200,000 or more",884
92007,2017,1,"Less than $15,000",363
92007,2017,2,"$15,000 to $29,999",383
92007,2017,3,"$30,000 to $44,999",322
92007,2017,4,"$45,000 to $59,999",394
92007,2017,5,"$60,000 to $74,999",362
92007,2017,6,"$75,000 to $99,999",586
92007,2017,7,"$100,000 to $124,999",452
92007,2017,8,"$125,000 to $149,999",320
92007,2017,9,"$150,000 to $199,999",454
92007,2017,10,"$200,000 or more",924
92007,2018,1,"Less than $15,000",276
92007,2018,2,"$15,000 to $29,999",378
92007,2018,3,"$30,000 to $44,999",297
92007,2018,4,"$45,000 to $59,999",442
92007,2018,5,"$60,000 to $74,999",393
92007,2018,6,"$75,000 to $99,999",577
92007,2018,7,"$100,000 to $124,999",502
92007,2018,8,"$125,000 to $149,999",313
92007,2018,9,"$150,000 to $199,999",464
92007,2018,10,"$200,000 or more",936
92007,2019,1,"Less than $15,000",386
92007,2019,2,"$15,000 to $29,999",392
92007,2019,3,"$30,000 to $44,999",375
92007,2019,4,"$45,000 to $59,999",387
92007,2019,5,"$60,000 to $74,999",343
92007,2019,6,"$75,000 to $99,999",479
92007,2019,7,"$100,000 to $124,999",492
92007,2019,8,"$125,000 to $149,999",327
92007,2019,9,"$150,000 to $199,999",504
92007,2019,10,"$200,000 or more",905
92008,2010,1,"Less than $15,000",1184
92008,2010,2,"$15,000 to $29,999",1703
92008,2010,3,"$30,000 to $44,999",1809
92008,2010,4,"$45,000 to $59,999",1257
92008,2010,5,"$60,000 to $74,999",1327
92008,2010,6,"$75,000 to $99,999",1433
92008,2010,7,"$100,000 to $124,999",953
92008,2010,8,"$125,000 to $149,999",541
92008,2010,9,"$150,000 to $199,999",713
92008,2010,10,"$200,000 or more",687
92008,2011,1,"Less than $15,000",1223
92008,2011,2,"$15,000 to $29,999",1700
92008,2011,3,"$30,000 to $44,999",1828
92008,2011,4,"$45,000 to $59,999",1261
92008,2011,5,"$60,000 to $74,999",1340
92008,2011,6,"$75,000 to $99,999",1437
92008,2011,7,"$100,000 to $124,999",946
92008,2011,8,"$125,000 to $149,999",537
92008,2011,9,"$150,000 to $199,999",721
92008,2011,10,"$200,000 or more",672
92008,2012,1,"Less than $15,000",1474
92008,2012,2,"$15,000 to $29,999",1732
92008,2012,3,"$30,000 to $44,999",1813
92008,2012,4,"$45,000 to $59,999",1167
92008,2012,5,"$60,000 to $74,999",1184
92008,2012,6,"$75,000 to $99,999",1628
92008,2012,7,"$100,000 to $124,999",788
92008,2012,8,"$125,000 to $149,999",542
92008,2012,9,"$150,000 to $199,999",701
92008,2012,10,"$200,000 or more",646
92008,2013,1,"Less than $15,000",1416
92008,2013,2,"$15,000 to $29,999",1768
92008,2013,3,"$30,000 to $44,999",1564
92008,2013,4,"$45,000 to $59,999",1254
92008,2013,5,"$60,000 to $74,999",1181
92008,2013,6,"$75,000 to $99,999",1431
92008,2013,7,"$100,000 to $124,999",965
92008,2013,8,"$125,000 to $149,999",547
92008,2013,9,"$150,000 to $199,999",837
92008,2013,10,"$200,000 or more",724
92008,2014,1,"Less than $15,000",1398
92008,2014,2,"$15,000 to $29,999",1617
92008,2014,3,"$30,000 to $44,999",1599
92008,2014,4,"$45,000 to $59,999",1384
92008,2014,5,"$60,000 to $74,999",1242
92008,2014,6,"$75,000 to $99,999",1409
92008,2014,7,"$100,000 to $124,999",962
92008,2014,8,"$125,000 to $149,999",536
92008,2014,9,"$150,000 to $199,999",770
92008,2014,10,"$200,000 or more",793
92008,2015,1,"Less than $15,000",1199
92008,2015,2,"$15,000 to $29,999",1318
92008,2015,3,"$30,000 to $44,999",1638
92008,2015,4,"$45,000 to $59,999",1326
92008,2015,5,"$60,000 to $74,999",1217
92008,2015,6,"$75,000 to $99,999",1513
92008,2015,7,"$100,000 to $124,999",1062
92008,2015,8,"$125,000 to $149,999",676
92008,2015,9,"$150,000 to $199,999",811
92008,2015,10,"$200,000 or more",952
92008,2016,1,"Less than $15,000",1018
92008,2016,2,"$15,000 to $29,999",1182
92008,2016,3,"$30,000 to $44,999",1511
92008,2016,4,"$45,000 to $59,999",1253
92008,2016,5,"$60,000 to $74,999",1348
92008,2016,6,"$75,000 to $99,999",1739
92008,2016,7,"$100,000 to $124,999",1211
92008,2016,8,"$125,000 to $149,999",708
92008,2016,9,"$150,000 to $199,999",737
92008,2016,10,"$200,000 or more",1060
92008,2017,1,"Less than $15,000",733
92008,2017,2,"$15,000 to $29,999",985
92008,2017,3,"$30,000 to $44,999",1460
92008,2017,4,"$45,000 to $59,999",1372
92008,2017,5,"$60,000 to $74,999",1461
92008,2017,6,"$75,000 to $99,999",1843
92008,2017,7,"$100,000 to $124,999",1185
92008,2017,8,"$125,000 to $149,999",653
92008,2017,9,"$150,000 to $199,999",834
92008,2017,10,"$200,000 or more",1300
92008,2018,1,"Less than $15,000",789
92008,2018,2,"$15,000 to $29,999",1043
92008,2018,3,"$30,000 to $44,999",1308
92008,2018,4,"$45,000 to $59,999",1356
92008,2018,5,"$60,000 to $74,999",1348
92008,2018,6,"$75,000 to $99,999",1826
92008,2018,7,"$100,000 to $124,999",1194
92008,2018,8,"$125,000 to $149,999",725
92008,2018,9,"$150,000 to $199,999",962
92008,2018,10,"$200,000 or more",1325
92008,2019,1,"Less than $15,000",761
92008,2019,2,"$15,000 to $29,999",976
92008,2019,3,"$30,000 to $44,999",1197
92008,2019,4,"$45,000 to $59,999",1281
92008,2019,5,"$60,000 to $74,999",1223
92008,2019,6,"$75,000 to $99,999",1918
92008,2019,7,"$100,000 to $124,999",1234
92008,2019,8,"$125,000 to $149,999",773
92008,2019,9,"$150,000 to $199,999",1083
92008,2019,10,"$200,000 or more",1470
92009,2010,1,"Less than $15,000",1151
92009,2010,2,"$15,000 to $29,999",811
92009,2010,3,"$30,000 to $44,999",1626
92009,2010,4,"$45,000 to $59,999",1108
92009,2010,5,"$60,000 to $74,999",1211
92009,2010,6,"$75,000 to $99,999",1745
92009,2010,7,"$100,000 to $124,999",1898
92009,2010,8,"$125,000 to $149,999",1219
92009,2010,9,"$150,000 to $199,999",1588
92009,2010,10,"$200,000 or more",2201
92009,2011,1,"Less than $15,000",1173
92009,2011,2,"$15,000 to $29,999",839
92009,2011,3,"$30,000 to $44,999",1658
92009,2011,4,"$45,000 to $59,999",1136
92009,2011,5,"$60,000 to $74,999",1226
92009,2011,6,"$75,000 to $99,999",1771
92009,2011,7,"$100,000 to $124,999",1894
92009,2011,8,"$125,000 to $149,999",1234
92009,2011,9,"$150,000 to $199,999",1600
92009,2011,10,"$200,000 or more",2225
92009,2012,1,"Less than $15,000",1536
92009,2012,2,"$15,000 to $29,999",1062
92009,2012,3,"$30,000 to $44,999",1375
92009,2012,4,"$45,000 to $59,999",1201
92009,2012,5,"$60,000 to $74,999",1217
92009,2012,6,"$75,000 to $99,999",1792
92009,2012,7,"$100,000 to $124,999",1782
92009,2012,8,"$125,000 to $149,999",1245
92009,2012,9,"$150,000 to $199,999",1644
92009,2012,10,"$200,000 or more",2076
92009,2013,1,"Less than $15,000",1545
92009,2013,2,"$15,000 to $29,999",1101
92009,2013,3,"$30,000 to $44,999",1405
92009,2013,4,"$45,000 to $59,999",1211
92009,2013,5,"$60,000 to $74,999",1166
92009,2013,6,"$75,000 to $99,999",1916
92009,2013,7,"$100,000 to $124,999",1802
92009,2013,8,"$125,000 to $149,999",1234
92009,2013,9,"$150,000 to $199,999",1630
92009,2013,10,"$200,000 or more",2112
92009,2014,1,"Less than $15,000",1500
92009,2014,2,"$15,000 to $29,999",1077
92009,2014,3,"$30,000 to $44,999",1157
92009,2014,4,"$45,000 to $59,999",1263
92009,2014,5,"$60,000 to $74,999",1324
92009,2014,6,"$75,000 to $99,999",1691
92009,2014,7,"$100,000 to $124,999",1777
92009,2014,8,"$125,000 to $149,999",1290
92009,2014,9,"$150,000 to $199,999",1599
92009,2014,10,"$200,000 or more",2599
92009,2015,1,"Less than $15,000",1447
92009,2015,2,"$15,000 to $29,999",1126
92009,2015,3,"$30,000 to $44,999",1232
92009,2015,4,"$45,000 to $59,999",993
92009,2015,5,"$60,000 to $74,999",1073
92009,2015,6,"$75,000 to $99,999",1880
92009,2015,7,"$100,000 to $124,999",1876
92009,2015,8,"$125,000 to $149,999",1334
92009,2015,9,"$150,000 to $199,999",1558
92009,2015,10,"$200,000 or more",2798
92009,2016,1,"Less than $15,000",1113
92009,2016,2,"$15,000 to $29,999",1086
92009,2016,3,"$30,000 to $44,999",1129
92009,2016,4,"$45,000 to $59,999",1056
92009,2016,5,"$60,000 to $74,999",1145
92009,2016,6,"$75,000 to $99,999",1999
92009,2016,7,"$100,000 to $124,999",1867
92009,2016,8,"$125,000 to $149,999",1252
92009,2016,9,"$150,000 to $199,999",1611
92009,2016,10,"$200,000 or more",3113
92009,2017,1,"Less than $15,000",845
92009,2017,2,"$15,000 to $29,999",953
92009,2017,3,"$30,000 to $44,999",1153
92009,2017,4,"$45,000 to $59,999",1027
92009,2017,5,"$60,000 to $74,999",1142
92009,2017,6,"$75,000 to $99,999",2031
92009,2017,7,"$100,000 to $124,999",1852
92009,2017,8,"$125,000 to $149,999",1254
92009,2017,9,"$150,000 to $199,999",1918
92009,2017,10,"$200,000 or more",3258
92009,2018,1,"Less than $15,000",621
92009,2018,2,"$15,000 to $29,999",942
92009,2018,3,"$30,000 to $44,999",1153
92009,2018,4,"$45,000 to $59,999",1044
92009,2018,5,"$60,000 to $74,999",1172
92009,2018,6,"$75,000 to $99,999",2011
92009,2018,7,"$100,000 to $124,999",1765
92009,2018,8,"$125,000 to $149,999",1379
92009,2018,9,"$150,000 to $199,999",2108
92009,2018,10,"$200,000 or more",3358
92009,2019,1,"Less than $15,000",542
92009,2019,2,"$15,000 to $29,999",1031
92009,2019,3,"$30,000 to $44,999",1044
92009,2019,4,"$45,000 to $59,999",1065
92009,2019,5,"$60,000 to $74,999",1192
92009,2019,6,"$75,000 to $99,999",1897
92009,2019,7,"$100,000 to $124,999",1595
92009,2019,8,"$125,000 to $149,999",1406
92009,2019,9,"$150,000 to $199,999",2246
92009,2019,10,"$200,000 or more",3569
92010,2010,1,"Less than $15,000",317
92010,2010,2,"$15,000 to $29,999",545
92010,2010,3,"$30,000 to $44,999",729
92010,2010,4,"$45,000 to $59,999",501
92010,2010,5,"$60,000 to $74,999",527
92010,2010,6,"$75,000 to $99,999",786
92010,2010,7,"$100,000 to $124,999",624
92010,2010,8,"$125,000 to $149,999",488
92010,2010,9,"$150,000 to $199,999",530
92010,2010,10,"$200,000 or more",393
92010,2011,1,"Less than $15,000",329
92010,2011,2,"$15,000 to $29,999",554
92010,2011,3,"$30,000 to $44,999",732
92010,2011,4,"$45,000 to $59,999",514
92010,2011,5,"$60,000 to $74,999",521
92010,2011,6,"$75,000 to $99,999",793
92010,2011,7,"$100,000 to $124,999",662
92010,2011,8,"$125,000 to $149,999",491
92010,2011,9,"$150,000 to $199,999",523
92010,2011,10,"$200,000 or more",394
92010,2012,1,"Less than $15,000",487
92010,2012,2,"$15,000 to $29,999",547
92010,2012,3,"$30,000 to $44,999",653
92010,2012,4,"$45,000 to $59,999",592
92010,2012,5,"$60,000 to $74,999",507
92010,2012,6,"$75,000 to $99,999",762
92010,2012,7,"$100,000 to $124,999",687
92010,2012,8,"$125,000 to $149,999",499
92010,2012,9,"$150,000 to $199,999",452
92010,2012,10,"$200,000 or more",368
92010,2013,1,"Less than $15,000",508
92010,2013,2,"$15,000 to $29,999",631
92010,2013,3,"$30,000 to $44,999",701
92010,2013,4,"$45,000 to $59,999",661
92010,2013,5,"$60,000 to $74,999",487
92010,2013,6,"$75,000 to $99,999",721
92010,2013,7,"$100,000 to $124,999",577
92010,2013,8,"$125,000 to $149,999",491
92010,2013,9,"$150,000 to $199,999",453
92010,2013,10,"$200,000 or more",402
92010,2014,1,"Less than $15,000",504
92010,2014,2,"$15,000 to $29,999",569
92010,2014,3,"$30,000 to $44,999",652
92010,2014,4,"$45,000 to $59,999",748
92010,2014,5,"$60,000 to $74,999",485
92010,2014,6,"$75,000 to $99,999",733
92010,2014,7,"$100,000 to $124,999",755
92010,2014,8,"$125,000 to $149,999",424
92010,2014,9,"$150,000 to $199,999",435
92010,2014,10,"$200,000 or more",442
92010,2015,1,"Less than $15,000",515
92010,2015,2,"$15,000 to $29,999",438
92010,2015,3,"$30,000 to $44,999",550
92010,2015,4,"$45,000 to $59,999",802
92010,2015,5,"$60,000 to $74,999",532
92010,2015,6,"$75,000 to $99,999",778
92010,2015,7,"$100,000 to $124,999",753
92010,2015,8,"$125,000 to $149,999",464
92010,2015,9,"$150,000 to $199,999",482
92010,2015,10,"$200,000 or more",484
92010,2016,1,"Less than $15,000",454
92010,2016,2,"$15,000 to $29,999",461
92010,2016,3,"$30,000 to $44,999",462
92010,2016,4,"$45,000 to $59,999",834
92010,2016,5,"$60,000 to $74,999",564
92010,2016,6,"$75,000 to $99,999",875
92010,2016,7,"$100,000 to $124,999",789
92010,2016,8,"$125,000 to $149,999",453
92010,2016,9,"$150,000 to $199,999",489
92010,2016,10,"$200,000 or more",470
92010,2017,1,"Less than $15,000",443
92010,2017,2,"$15,000 to $29,999",518
92010,2017,3,"$30,000 to $44,999",446
92010,2017,4,"$45,000 to $59,999",677
92010,2017,5,"$60,000 to $74,999",521
92010,2017,6,"$75,000 to $99,999",833
92010,2017,7,"$100,000 to $124,999",783
92010,2017,8,"$125,000 to $149,999",488
92010,2017,9,"$150,000 to $199,999",596
92010,2017,10,"$200,000 or more",554
92010,2018,1,"Less than $15,000",534
92010,2018,2,"$15,000 to $29,999",476
92010,2018,3,"$30,000 to $44,999",386
92010,2018,4,"$45,000 to $59,999",576
92010,2018,5,"$60,000 to $74,999",531
92010,2018,6,"$75,000 to $99,999",862
92010,2018,7,"$100,000 to $124,999",806
92010,2018,8,"$125,000 to $149,999",539
92010,2018,9,"$150,000 to $199,999",655
92010,2018,10,"$200,000 or more",683
92010,2019,1,"Less than $15,000",541
92010,2019,2,"$15,000 to $29,999",502
92010,2019,3,"$30,000 to $44,999",411
92010,2019,4,"$45,000 to $59,999",563
92010,2019,5,"$60,000 to $74,999",480
92010,2019,6,"$75,000 to $99,999",804
92010,2019,7,"$100,000 to $124,999",795
92010,2019,8,"$125,000 to $149,999",579
92010,2019,9,"$150,000 to $199,999",717
92010,2019,10,"$200,000 or more",748
92011,2010,1,"Less than $15,000",657
92011,2010,2,"$15,000 to $29,999",997
92011,2010,3,"$30,000 to $44,999",823
92011,2010,4,"$45,000 to $59,999",653
92011,2010,5,"$60,000 to $74,999",843
92011,2010,6,"$75,000 to $99,999",1135
92011,2010,7,"$100,000 to $124,999",890
92011,2010,8,"$125,000 to $149,999",879
92011,2010,9,"$150,000 to $199,999",955
92011,2010,10,"$200,000 or more",1195
92011,2011,1,"Less than $15,000",630
92011,2011,2,"$15,000 to $29,999",1013
92011,2011,3,"$30,000 to $44,999",818
92011,2011,4,"$45,000 to $59,999",660
92011,2011,5,"$60,000 to $74,999",841
92011,2011,6,"$75,000 to $99,999",1143
92011,2011,7,"$100,000 to $124,999",905
92011,2011,8,"$125,000 to $149,999",886
92011,2011,9,"$150,000 to $199,999",955
92011,2011,10,"$200,000 or more",1219
92011,2012,1,"Less than $15,000",861
92011,2012,2,"$15,000 to $29,999",1049
92011,2012,3,"$30,000 to $44,999",720
92011,2012,4,"$45,000 to $59,999",677
92011,2012,5,"$60,000 to $74,999",760
92011,2012,6,"$75,000 to $99,999",1176
92011,2012,7,"$100,000 to $124,999",1035
92011,2012,8,"$125,000 to $149,999",773
92011,2012,9,"$150,000 to $199,999",940
92011,2012,10,"$200,000 or more",1131
92011,2013,1,"Less than $15,000",877
92011,2013,2,"$15,000 to $29,999",1021
92011,2013,3,"$30,000 to $44,999",884
92011,2013,4,"$45,000 to $59,999",690
92011,2013,5,"$60,000 to $74,999",706
92011,2013,6,"$75,000 to $99,999",1056
92011,2013,7,"$100,000 to $124,999",979
92011,2013,8,"$125,000 to $149,999",734
92011,2013,9,"$150,000 to $199,999",924
92011,2013,10,"$200,000 or more",1278
92011,2014,1,"Less than $15,000",988
92011,2014,2,"$15,000 to $29,999",912
92011,2014,3,"$30,000 to $44,999",877
92011,2014,4,"$45,000 to $59,999",660
92011,2014,5,"$60,000 to $74,999",598
92011,2014,6,"$75,000 to $99,999",1061
92011,2014,7,"$100,000 to $124,999",1108
92011,2014,8,"$125,000 to $149,999",739
92011,2014,9,"$150,000 to $199,999",836
92011,2014,10,"$200,000 or more",1462
92011,2015,1,"Less than $15,000",928
92011,2015,2,"$15,000 to $29,999",893
92011,2015,3,"$30,000 to $44,999",693
92011,2015,4,"$45,000 to $59,999",593
92011,2015,5,"$60,000 to $74,999",583
92011,2015,6,"$75,000 to $99,999",1132
92011,2015,7,"$100,000 to $124,999",1258
92011,2015,8,"$125,000 to $149,999",799
92011,2015,9,"$150,000 to $199,999",880
92011,2015,10,"$200,000 or more",1525
92011,2016,1,"Less than $15,000",827
92011,2016,2,"$15,000 to $29,999",832
92011,2016,3,"$30,000 to $44,999",659
92011,2016,4,"$45,000 to $59,999",660
92011,2016,5,"$60,000 to $74,999",654
92011,2016,6,"$75,000 to $99,999",1178
92011,2016,7,"$100,000 to $124,999",1229
92011,2016,8,"$125,000 to $149,999",799
92011,2016,9,"$150,000 to $199,999",949
92011,2016,10,"$200,000 or more",1536
92011,2017,1,"Less than $15,000",752
92011,2017,2,"$15,000 to $29,999",798
92011,2017,3,"$30,000 to $44,999",698
92011,2017,4,"$45,000 to $59,999",681
92011,2017,5,"$60,000 to $74,999",649
92011,2017,6,"$75,000 to $99,999",1148
92011,2017,7,"$100,000 to $124,999",1206
92011,2017,8,"$125,000 to $149,999",785
92011,2017,9,"$150,000 to $199,999",979
92011,2017,10,"$200,000 or more",1634
92011,2018,1,"Less than $15,000",495
92011,2018,2,"$15,000 to $29,999",706
92011,2018,3,"$30,000 to $44,999",587
92011,2018,4,"$45,000 to $59,999",706
92011,2018,5,"$60,000 to $74,999",732
92011,2018,6,"$75,000 to $99,999",1259
92011,2018,7,"$100,000 to $124,999",1092
92011,2018,8,"$125,000 to $149,999",709
92011,2018,9,"$150,000 to $199,999",1061
92011,2018,10,"$200,000 or more",1890
92011,2019,1,"Less than $15,000",396
92011,2019,2,"$15,000 to $29,999",786
92011,2019,3,"$30,000 to $44,999",675
92011,2019,4,"$45,000 to $59,999",791
92011,2019,5,"$60,000 to $74,999",685
92011,2019,6,"$75,000 to $99,999",1125
92011,2019,7,"$100,000 to $124,999",1166
92011,2019,8,"$125,000 to $149,999",761
92011,2019,9,"$150,000 to $199,999",1095
92011,2019,10,"$200,000 or more",1777
92014,2010,1,"Less than $15,000",447
92014,2010,2,"$15,000 to $29,999",365
92014,2010,3,"$30,000 to $44,999",401
92014,2010,4,"$45,000 to $59,999",500
92014,2010,5,"$60,000 to $74,999",332
92014,2010,6,"$75,000 to $99,999",670
92014,2010,7,"$100,000 to $124,999",500
92014,2010,8,"$125,000 to $149,999",437
92014,2010,9,"$150,000 to $199,999",633
92014,2010,10,"$200,000 or more",1681
92014,2011,1,"Less than $15,000",452
92014,2011,2,"$15,000 to $29,999",374
92014,2011,3,"$30,000 to $44,999",410
92014,2011,4,"$45,000 to $59,999",497
92014,2011,5,"$60,000 to $74,999",333
92014,2011,6,"$75,000 to $99,999",664
92014,2011,7,"$100,000 to $124,999",506
92014,2011,8,"$125,000 to $149,999",423
92014,2011,9,"$150,000 to $199,999",625
92014,2011,10,"$200,000 or more",1684
92014,2012,1,"Less than $15,000",506
92014,2012,2,"$15,000 to $29,999",447
92014,2012,3,"$30,000 to $44,999",349
92014,2012,4,"$45,000 to $59,999",478
92014,2012,5,"$60,000 to $74,999",369
92014,2012,6,"$75,000 to $99,999",641
92014,2012,7,"$100,000 to $124,999",520
92014,2012,8,"$125,000 to $149,999",425
92014,2012,9,"$150,000 to $199,999",596
92014,2012,10,"$200,000 or more",1621
92014,2013,1,"Less than $15,000",422
92014,2013,2,"$15,000 to $29,999",407
92014,2013,3,"$30,000 to $44,999",392
92014,2013,4,"$45,000 to $59,999",438
92014,2013,5,"$60,000 to $74,999",428
92014,2013,6,"$75,000 to $99,999",660
92014,2013,7,"$100,000 to $124,999",529
92014,2013,8,"$125,000 to $149,999",457
92014,2013,9,"$150,000 to $199,999",694
92014,2013,10,"$200,000 or more",1531
92014,2014,1,"Less than $15,000",280
92014,2014,2,"$15,000 to $29,999",409
92014,2014,3,"$30,000 to $44,999",365
92014,2014,4,"$45,000 to $59,999",443
92014,2014,5,"$60,000 to $74,999",488
92014,2014,6,"$75,000 to $99,999",749
92014,2014,7,"$100,000 to $124,999",574
92014,2014,8,"$125,000 to $149,999",439
92014,2014,9,"$150,000 to $199,999",689
92014,2014,10,"$200,000 or more",1543
92014,2015,1,"Less than $15,000",292
92014,2015,2,"$15,000 to $29,999",324
92014,2015,3,"$30,000 to $44,999",360
92014,2015,4,"$45,000 to $59,999",395
92014,2015,5,"$60,000 to $74,999",467
92014,2015,6,"$75,000 to $99,999",837
92014,2015,7,"$100,000 to $124,999",578
92014,2015,8,"$125,000 to $149,999",438
92014,2015,9,"$150,000 to $199,999",856
92014,2015,10,"$200,000 or more",1444
92014,2016,1,"Less than $15,000",270
92014,2016,2,"$15,000 to $29,999",271
92014,2016,3,"$30,000 to $44,999",349
92014,2016,4,"$45,000 to $59,999",371
92014,2016,5,"$60,000 to $74,999",493
92014,2016,6,"$75,000 to $99,999",938
92014,2016,7,"$100,000 to $124,999",623
92014,2016,8,"$125,000 to $149,999",434
92014,2016,9,"$150,000 to $199,999",744
92014,2016,10,"$200,000 or more",1510
92014,2017,1,"Less than $15,000",375
92014,2017,2,"$15,000 to $29,999",258
92014,2017,3,"$30,000 to $44,999",343
92014,2017,4,"$45,000 to $59,999",453
92014,2017,5,"$60,000 to $74,999",455
92014,2017,6,"$75,000 to $99,999",794
92014,2017,7,"$100,000 to $124,999",560
92014,2017,8,"$125,000 to $149,999",427
92014,2017,9,"$150,000 to $199,999",771
92014,2017,10,"$200,000 or more",1572
92014,2018,1,"Less than $15,000",354
92014,2018,2,"$15,000 to $29,999",247
92014,2018,3,"$30,000 to $44,999",351
92014,2018,4,"$45,000 to $59,999",387
92014,2018,5,"$60,000 to $74,999",510
92014,2018,6,"$75,000 to $99,999",825
92014,2018,7,"$100,000 to $124,999",503
92014,2018,8,"$125,000 to $149,999",376
92014,2018,9,"$150,000 to $199,999",745
92014,2018,10,"$200,000 or more",1710
92014,2019,1,"Less than $15,000",379
92014,2019,2,"$15,000 to $29,999",243
92014,2019,3,"$30,000 to $44,999",336
92014,2019,4,"$45,000 to $59,999",324
92014,2019,5,"$60,000 to $74,999",440
92014,2019,6,"$75,000 to $99,999",795
92014,2019,7,"$100,000 to $124,999",541
92014,2019,8,"$125,000 to $149,999",403
92014,2019,9,"$150,000 to $199,999",828
92014,2019,10,"$200,000 or more",1732
92019,2010,1,"Less than $15,000",1453
92019,2010,2,"$15,000 to $29,999",1533
92019,2010,3,"$30,000 to $44,999",2160
92019,2010,4,"$45,000 to $59,999",1697
92019,2010,5,"$60,000 to $74,999",1376
92019,2010,6,"$75,000 to $99,999",2157
92019,2010,7,"$100,000 to $124,999",1465
92019,2010,8,"$125,000 to $149,999",878
92019,2010,9,"$150,000 to $199,999",1193
92019,2010,10,"$200,000 or more",1056
92019,2011,1,"Less than $15,000",1453
92019,2011,2,"$15,000 to $29,999",1493
92019,2011,3,"$30,000 to $44,999",2181
92019,2011,4,"$45,000 to $59,999",1695
92019,2011,5,"$60,000 to $74,999",1370
92019,2011,6,"$75,000 to $99,999",2175
92019,2011,7,"$100,000 to $124,999",1493
92019,2011,8,"$125,000 to $149,999",879
92019,2011,9,"$150,000 to $199,999",1192
92019,2011,10,"$200,000 or more",1044
92019,2012,1,"Less than $15,000",1622
92019,2012,2,"$15,000 to $29,999",1604
92019,2012,3,"$30,000 to $44,999",1884
92019,2012,4,"$45,000 to $59,999",1893
92019,2012,5,"$60,000 to $74,999",1348
92019,2012,6,"$75,000 to $99,999",1993
92019,2012,7,"$100,000 to $124,999",1716
92019,2012,8,"$125,000 to $149,999",880
92019,2012,9,"$150,000 to $199,999",1148
92019,2012,10,"$200,000 or more",927
92019,2013,1,"Less than $15,000",1603
92019,2013,2,"$15,000 to $29,999",1883
92019,2013,3,"$30,000 to $44,999",2170
92019,2013,4,"$45,000 to $59,999",1705
92019,2013,5,"$60,000 to $74,999",1331
92019,2013,6,"$75,000 to $99,999",2175
92019,2013,7,"$100,000 to $124,999",1512
92019,2013,8,"$125,000 to $149,999",918
92019,2013,9,"$150,000 to $199,999",1045
92019,2013,10,"$200,000 or more",793
92019,2014,1,"Less than $15,000",1597
92019,2014,2,"$15,000 to $29,999",1945
92019,2014,3,"$30,000 to $44,999",2048
92019,2014,4,"$45,000 to $59,999",1649
92019,2014,5,"$60,000 to $74,999",1311
92019,2014,6,"$75,000 to $99,999",2284
92019,2014,7,"$100,000 to $124,999",1481
92019,2014,8,"$125,000 to $149,999",870
92019,2014,9,"$150,000 to $199,999",970
92019,2014,10,"$200,000 or more",934
92019,2015,1,"Less than $15,000",1419
92019,2015,2,"$15,000 to $29,999",1846
92019,2015,3,"$30,000 to $44,999",2095
92019,2015,4,"$45,000 to $59,999",1447
92019,2015,5,"$60,000 to $74,999",1318
92019,2015,6,"$75,000 to $99,999",2399
92019,2015,7,"$100,000 to $124,999",1452
92019,2015,8,"$125,000 to $149,999",1077
92019,2015,9,"$150,000 to $199,999",1062
92019,2015,10,"$200,000 or more",963
92019,2016,1,"Less than $15,000",1336
92019,2016,2,"$15,000 to $29,999",1899
92019,2016,3,"$30,000 to $44,999",2000
92019,2016,4,"$45,000 to $59,999",1439
92019,2016,5,"$60,000 to $74,999",1434
92019,2016,6,"$75,000 to $99,999",2499
92019,2016,7,"$100,000 to $124,999",1565
92019,2016,8,"$125,000 to $149,999",985
92019,2016,9,"$150,000 to $199,999",991
92019,2016,10,"$200,000 or more",996
92019,2017,1,"Less than $15,000",1293
92019,2017,2,"$15,000 to $29,999",1832
92019,2017,3,"$30,000 to $44,999",1820
92019,2017,4,"$45,000 to $59,999",1402
92019,2017,5,"$60,000 to $74,999",1551
92019,2017,6,"$75,000 to $99,999",2437
92019,2017,7,"$100,000 to $124,999",1610
92019,2017,8,"$125,000 to $149,999",946
92019,2017,9,"$150,000 to $199,999",1027
92019,2017,10,"$200,000 or more",1216
92019,2018,1,"Less than $15,000",1161
92019,2018,2,"$15,000 to $29,999",1751
92019,2018,3,"$30,000 to $44,999",1600
92019,2018,4,"$45,000 to $59,999",1369
92019,2018,5,"$60,000 to $74,999",1678
92019,2018,6,"$75,000 to $99,999",2424
92019,2018,7,"$100,000 to $124,999",1511
92019,2018,8,"$125,000 to $149,999",977
92019,2018,9,"$150,000 to $199,999",1239
92019,2018,10,"$200,000 or more",1430
92019,2019,1,"Less than $15,000",1293
92019,2019,2,"$15,000 to $29,999",1599
92019,2019,3,"$30,000 to $44,999",1682
92019,2019,4,"$45,000 to $59,999",1483
92019,2019,5,"$60,000 to $74,999",1640
92019,2019,6,"$75,000 to $99,999",2454
